Cheese,Year_of_designated_appellation,Producing_region,Type_of_milk,Designation
Abondance,1990,Haute-Savoie,Cow,PDO
Banon,2003,Provence-Alpes-Côte d'Azur,Goat,PDO
Beaufort,1968,Savoie,Cow,PDO
Bleu d'Auvergne,1975,Auvergne,Cow,PDO
Bleu des Causses,1979,Midi-Pyrénées,Cow,PDO
Bleu de Gex,1977,Franche-Comté,Cow,PDO
Bleu du Vercors-Sassenage,1998,Rhône-Alpes,Cow,PDO
Brie de Meaux,1980,Île-de-France,Cow,PDO
Brie de Melun,1980,Île-de-France,Cow,PDO
Brillat-Savarin,2015,Burgundy,Cow,PGI
Brocciu,1983,Corsica,Sheep,PDO
Brousse du Rove,2018,,,PDO
Cabécou,1988,Midi-Pyrénées,Goat,AOC
Cancoillotte,n/a,Franche-Comté,Cow,LR
Cantal,1956,Auvergne,Cow,PDO
Camembert de Normandie,1983,Normandy,Cow,AOC
Cazelle de Saint Affrique,n/a,Midi-Pyrénées,Sheep,PDO
Chabichou du Poitou,1990,Poitou-Charentes,Goat,PDO
Chaource,1970,Champagne-Ardenne,Cow,PDO
Charolais,2010,,,PDO
Chevrotin,2003,,,PDO
Comté,1952,Franche-Comté,Cow,PDO
Crottin de Chavignol,1976,Centre-Val de Loire,Goat,PDO
Emmental de Savoie,n/a,Savoie,Cow,PGI
Emmental français est-central,n/a,Franche-Comté,Cow,PGI
Époisses,1991,Burgundy,Cow,PDO
Faisselle,,Rians,"Cow, Goat, Sheep",
Fourme d'Ambert,1972,Auvergne,Cow,PDO
Fourme de Montbrison,1972,Auvergne,Cow,PDO
Gruyère,2018,central eastern regions,Cow,PGI
Laguiole,1961,Auvergne,Cow,PDO
Langres,1991,Champagne-Ardenne,Cow,PDO
Livarot,1972,Normandy,Cow,PDO
Mâconnais,2006,Burgundy,Goat,PDO
Maroilles,1976,Nord-Pas-de-Calais,Cow,PDO
Mimolette,n/a,Nord-Pas-de-Calais,Cow,LR
Vacherin,2006,Franche-Comté,Cow,PDO
Morbier,2000,Franche-Comté,Cow,PDO
Munster,1969,Alsace,Cow,PDO
Neufchâtel,1969,Normandy,Cow,PDO
Ossau-lraty,1980,Aquitaine,Sheep,PDO
Pélardon,2000,Languedoc-Roussillon,Goat,PDO
Picodon,1983,Rhône-Alpes,Goat,PDO
Pont-l'Évêque,1976,Normandy,Cow,PDO
Pouligny-Saint-Pierre,1972,Centre-Val de Loire,Goat,PDO
Raclette de Savoie,2015,,,PGI
Reblochon,1958,Savoie,Cow,PDO
Rigotte de Condrieu,2008,Lyon,Goat,PDO
Rocamadour,1996,Midi-Pyrénées,Goat,PDO
Roquefort,1925,Midi-Pyrénées,Sheep,PDO
Sainte-Maure de Touraine,1990,Centre-Val de Loire,Goat,PDO
Saint-Marcellin,2010,,,PGI
Saint-Nectaire,1955,Auvergne,Cow,PDO
Saint-Félicien,n/a,Rhône-Alpes,Cow,LR
Salers,1979,Auvergne,Cow,PDO
Selles-sur-Cher,1975,Centre-Val de Loire,Goat,PDO
Soumaintrain,2014,,,PGI
Tome des Bauges,2002,Savoie,Cow,PDO
Tome fraîche,n/a,Auvergne,Cow,AOC
Tomme de Savoie,n/a,Savoie,Cow,PGI
Tomme des Pyrénées,n/a,Midi-Pyrénées,Cow,PGI
Trou du Cru,n/a,Burgundy,Cow,AOC
Valençay,1998,Centre-Val de Loire,Goat,PDO
